"","Hectare","Shift","Date","Anonymized.Sighter","Sighter.Observed.Weather.Data","Litter","Litter.Notes","Other.Animal.Sightings","Hectare.Conditions","Hectare.Conditions.Notes","Number.of.sighters","Number.of.Squirrels","Total.Time.of.Sighting","temperature_fahrenheit","temperature_celsius","sunny","rainy","cloudy","windy","drizzly","foggy","humid"
"1","01A","AM",10072018,110,"70º F, Foggy","Some","","Humans, Pigeons","Busy","",1,4,22,70,21.1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"2","01A","PM",10142018,177,"54º F, overcast","Abundant","","Humans, Pigeons","Busy","",1,7,26,54,12.2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"3","01B","AM",10122018,11,"60º F, sunny","Some","","Humans, Dogs, Pigeons, Horses","Busy","",1,17,23,60,15.6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"4","01B","PM",10192018,109,"59.8º F, Sun, Cool","Some","","Humans, Dogs, Pigeons, Sparrow, Blue jay","Busy","",1,10,35,59,15,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"5","01C","PM",10132018,241,"55° F, Partly Cloudy","None","","Humans, Dogs, Pigeons, Birds","Busy","",1,10,25,55,12.8,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"6","01D","AM",10062018,250,"66º F, cloudy, light drizzle","Some","","Humans","Calm","",1,9,35,66,18.9,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"7","01E","AM",10062018,218,"65º F approx, misty","Some","","Humans","Calm","",1,5,26,65,18.3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"8","01F","AM",10102018,123,"74º F, Partly cloudy, no wind","None","","Humans, Dogs, Ducks","Calm","",1,5,20,74,23.3,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"9","01F","PM",10192018,241,"59º F, Clear","None","","Humans, Dogs, Pigeons, Birds","Busy","",1,3,24,59,15,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"10","01G","PM",10102018,151,"77º F, Warm, sunny, humid","None","","Humans, Dogs, Cats, Raccoons","Busy","",1,3,28,77,25,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"11","01G","AM",10062018,232,"64º F, cloudy, light drizzle","None","","Humans, Dogs, Pigeons, Ducks, Bluejay, Sparrow, Starling","Busy","",1,4,25,64,17.8,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"12","01H","PM",10132018,27,"56° F, Cloudy","None","","Humans","Busy","",1,2,28,56,13.3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"13","01H","AM",10122018,224,"59º F, mostly sunny, windy","Some","","Humans, Pigeons, Small birds","Busy","",1,2,27,59,15,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"14","01I","AM",10072018,8,"71º F, Cloudy","Some","","Humans, Dogs, Pigeons, Horses","Calm","",1,0,28,71,21.7,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"15","02A","AM",10102018,66,"73º F, Cloudy, 85% humidity","Abundant","","Humans, Dogs","Busy","",1,9,25,73,22.8,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"16","02A","PM",10192018,109,"55º F, Sun","Some","","Humans, Dogs, Pigeons, Downy Woodpecker, Sparrows","Calm","",1,6,30,55,12.8,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"17","02C","AM",10102018,66,"70º F","None","","Humans, Small birds","Busy","",1,9,25,70,21.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"18","02D","AM",10072018,116,"71º F, cloudy","None","","Humans, Dogs","Calm","",1,6,25,71,21.7,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"19","02D","PM",10122018,134,"61º F, sunny","None","","Humans","Busy","",1,2,35,61,16.1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"20","02E","AM",10102018,167,"73º F","","","Humans, Hawks, Dogs","Calm","",1,7,20,73,22.8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"21","02E","PM",10142018,177,"58º F, overcast","Some","","Humans, Dogs","Busy","",1,5,22,58,14.4,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"22","02F","AM",10062018,126,"64º F, slight wind, dew point 59, misty","Some","","Humans, Dogs","Calm","",1,5,25,64,17.8,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
"23","02G","AM",10102018,60,"73º F, Overcast","None","","Humans, Dogs","Busy","",1,4,20,73,22.8,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"24","02G","PM",10072018,119,"80º F, Humid. Party. Cloudy.","None","","Humans, Pigeons, Mice","Calm","",1,3,22,80,26.7,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"25","02H","AM",10062018,116,"65º F, cloudy","","","Humans, Pigeons, Ducks, Geese","","",1,3,22,65,18.3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"26","02H","PM",10062018,196,"67º F, Cloudy, mist-rain","Some","","Humans, Dogs","Busy","",1,2,30,67,19.4,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
"27","02I","AM",10062018,56,"65º F, overcast","Some","","Humans, Pigeons","Busy","",1,2,28,65,18.3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"28","02I","PM",10062018,134,"","","","","","",1,2,20,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"29","03A","PM",10172018,241,"60º F, mostly cloudy","None","","Humans, Dogs, Birds","Calm","",1,8,25,60,15.6,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"30","03B","PM",10072018,231,"80º F, Cloudy. Humid","Some","","Humans, Dogs","Busy","",1,11,15,80,26.7,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"31","03C","AM",10072018,116,"71º F, Cloudy","None","","Humans, Dogs","Calm","",1,2,20,71,21.7,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"32","03C","PM",10082018,134,"62º F, overcast","Some","","Humans, Dogs","Busy","",1,2,30,62,16.7,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"33","03D","AM",10062018,121,"64º F, overcast, moist","Some","","Humans, Dogs, Pigeons, Birds","Busy","",1,8,35,64,17.8,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
