"","Hectare","Shift","Date","X","Y","Unique.Squirrel.ID","Hectare.Squirrel.Number","Age","Primary.Fur.Color","Highlight.Fur.Color","Combination.of.Primary.and.Highlight.Color","Color.notes","Location","Above.Ground.Sighter.Measurement","Specific.Location","Running","Chasing","Climbing","Eating","Foraging","Other.Activities","Kuks","Quaas","Moans","Tail.flags","Tail.twitches","Approaches","Indifferent","Runs.from","Other.Interactions","Lat.Long","Anonymized.Sighter","Sighter.Observed.Weather.Data","Litter","Litter.Notes","Other.Animal.Sightings","Hectare.Conditions","Hectare.Conditions.Notes","Number.of.sighters","Number.of.Squirrels","Total.Time.of.Sighting","temperature_fahrenheit","temperature_celsius","sunny"
"1","01A","AM",10072018,-73.9810032206428,40.7681625634979,"1A-AM-1007-01",1,"Adult","Gray","White","Gray+White","","Above Ground","7","","false","false","true","false","false","","false","false","false","false","true","false","true","false","","POINT (-73.9810032206428 40.7681625634979)",110,"70º F, Foggy","Some","","Humans, Pigeons","Busy","",1,4,22,70,21.1,FALSE
"2","01A","AM",10072018,-73.980777106431,40.7681635726316,"1A-AM-1007-02",2,"Adult","Gray","White","Gray+White","","Above Ground","11","","false","false","true","false","false","","false","false","false","false","true","false","true","false","","POINT (-73.980777106431 40.7681635726316)",110,"70º F, Foggy","Some","","Humans, Pigeons","Busy","",1,4,22,70,21.1,FALSE
"3","01A","AM",10072018,-73.9811078442462,40.767515940567,"1A-AM-1007-04",4,"Adult","Cinnamon","Gray","Cinnamon+Gray","","Ground Plane","FALSE","","false","false","false","false","true","","false","false","false","false","false","false","true","false","","POINT (-73.9811078442462 40.767515940567)",110,"70º F, Foggy","Some","","Humans, Pigeons","Busy","",1,4,22,70,21.1,FALSE
"4","01A","AM",10072018,-73.9806905259671,40.7681152210858,"1A-AM-1007-03",3,"Adult","Gray","Cinnamon","Gray+Cinnamon","","Ground Plane","FALSE","","false","false","false","false","false","looking in bush","false","false","false","false","false","false","true","false","","POINT (-73.9806905259671 40.7681152210858)",110,"70º F, Foggy","Some","","Humans, Pigeons","Busy","",1,4,22,70,21.1,FALSE
"5","01A","PM",10142018,-73.9808202088503,40.7682921842325,"1A-PM-1014-02",2,"Adult","Cinnamon","White","Cinnamon+White","","Above Ground","6","","false","true","false","false","false","","false","false","false","false","false","false","false","false","","POINT (-73.9808202088503 40.7682921842325)",177,"54º F, overcast","Abundant","","Humans, Pigeons","Busy","",1,7,26,54,12.2,FALSE
"6","01A","PM",10142018,-73.9809876538513,40.7683223242143,"1A-PM-1014-05",5,"Adult","Gray","Cinnamon","Gray+Cinnamon","","Ground Plane","FALSE","","false","false","false","true","false","","false","false","false","false","false","false","false","true","","POINT (-73.9809876538513 40.7683223242143)",177,"54º F, overcast","Abundant","","Humans, Pigeons","Busy","",1,7,26,54,12.2,FALSE
"7","01A","PM",10142018,-73.9807898224726,40.768215817511,"1A-PM-1014-04",4,"Adult","Cinnamon","White","Cinnamon+White","","Ground Plane","FALSE","","false","false","false","false","true","","false","false","false","false","false","false","true","false","","POINT (-73.9807898224726 40.768215817511)",177,"54º F, overcast","Abundant","","Humans, Pigeons","Busy","",1,7,26,54,12.2,FALSE
"8","01A","PM",10142018,-73.9808517324721,40.7683154647217,"1A-PM-1014-01",1,"Adult","Cinnamon","White","Cinnamon+White","","Above Ground","6","","false","true","false","false","false","","false","false","false","false","true","false","false","false","","POINT (-73.9808517324721 40.7683154647217)",177,"54º F, overcast","Abundant","","Humans, Pigeons","Busy","",1,7,26,54,12.2,FALSE
"9","01A","PM",10142018,-73.9806928007664,40.768255422025,"1A-PM-1014-03",3,"Adult","Gray","Black","Gray+Black","","Ground Plane","FALSE","","false","false","false","false","true","","false","false","false","false","false","false","false","true","","POINT (-73.9806928007664 40.768255422025)",177,"54º F, overcast","Abundant","","Humans, Pigeons","Busy","",1,7,26,54,12.2,FALSE
"10","01A","PM",10142018,-73.980919134781,40.7683772453336,"1A-PM-1014-06",6,"Juvenile","Gray","","Gray+","","Ground Plane","FALSE","","true","false","false","false","false","","true","false","false","false","false","false","false","true","","POINT (-73.980919134781 40.7683772453336)",177,"54º F, overcast","Abundant","","Humans, Pigeons","Busy","",1,7,26,54,12.2,FALSE
"11","01A","PM",10142018,-73.9811218801005,40.7684406206185,"1A-PM-1014-07",7,"Adult","Gray","Cinnamon","Gray+Cinnamon","","Ground Plane","FALSE","","false","false","false","false","true","","false","false","false","false","false","false","true","false","","POINT (-73.9811218801005 40.7684406206185)",177,"54º F, overcast","Abundant","","Humans, Pigeons","Busy","",1,7,26,54,12.2,FALSE
"12","01B","AM",10122018,-73.9800669115792,40.7676825134384,"1B-AM-1012-07",7,"Adult","Cinnamon","","Cinnamon+","","Above Ground","2","on tree trunk","false","true","true","false","false","","false","false","false","false","false","false","true","false","","POINT (-73.9800669115792 40.7676825134384)",11,"60º F, sunny","Some","","Humans, Dogs, Pigeons, Horses","Busy","",1,17,23,60,15.6,FALSE
"13","01B","AM",10122018,-73.9800094828465,40.7677782585639,"1B-AM-1012-04",4,"","Gray","Cinnamon","Gray+Cinnamon","","Ground Plane","FALSE","","true","false","false","true","false","","false","false","false","false","false","false","true","false","","POINT (-73.9800094828465 40.7677782585639)",11,"60º F, sunny","Some","","Humans, Dogs, Pigeons, Horses","Busy","",1,17,23,60,15.6,FALSE
